model,fold,epoch,learning_rate,train_loss,val_loss,train_accuracy,val_accuracy,train_f1_macro,val_f1_macro,model_internal,history_file
MobileNetV3-Small,1,2,0.0002996346075389,0.440143682724092,0.4207651003714531,0.9951219512195122,1.0,0.9951219381769498,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_01/history.csv
MobileNetV3-Small,1,3,0.0002985402103112,0.4234117945229135,0.419767843138787,0.995609756097561,1.0,0.9956109284719212,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_01/history.csv
MobileNetV3-Small,1,4,0.00029672214011,0.4242338518980073,0.4106078217106481,0.9946341463414634,1.0,0.994629370555324,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_01/history.csv
MobileNetV3-Small,1,5,0.0002941892543907,0.4189503713933433,0.4009265399748279,0.9980487804878048,1.0,0.9980487645485698,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_01/history.csv
MobileNetV3-Small,1,6,0.0002909538931178,0.414695166145883,0.405468020131511,0.9980487804878048,1.0,0.9980481805299324,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_01/history.csv
MobileNetV3-Small,1,7,0.0002870318186463,0.408630265375463,0.3964874857856381,0.9990243902439024,1.0,0.999023791726352,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_01/history.csv
MobileNetV3-Small,1,8,0.0002824421389288,0.40695443130121,0.3959045602429297,0.9970731707317072,1.0,0.9970743583250636,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_01/history.csv
MobileNetV3-Small,1,9,0.0002772072144234,0.4102270535724919,0.3970479199963231,0.9970731707317072,1.0,0.99707194895049,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_01/history.csv
MobileNetV3-Small,2,1,0.0003,0.6668298080490856,0.5218264145235861,0.8941463414634147,0.9419354838709676,0.8942280714311422,0.9434586951444766,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_02/history.csv
MobileNetV3-Small,2,2,0.0002996346075389,0.4405387925520176,0.4548200676518102,0.9917073170731708,0.9870967741935484,0.9916977056921616,0.9876178812002452,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_02/history.csv
MobileNetV3-Small,2,3,0.0002985402103112,0.4374361280115639,0.4127425489887114,0.9921951219512196,1.0,0.9921926901348848,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_02/history.csv
MobileNetV3-Small,2,4,0.00029672214011,0.4203259523903451,0.4116979670140051,0.9980487804878048,1.0,0.998048774684024,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_02/history.csv
MobileNetV3-Small,2,5,0.0002941892543907,0.4150094020657423,0.4041278187305696,0.9960975609756098,1.0,0.9960969566702164,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_02/history.csv
MobileNetV3-Small,2,6,0.0002909538931178,0.415026277129243,0.4064498120738614,0.9980487804878048,1.0,0.9980487783113968,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_02/history.csv
MobileNetV3-Small,2,7,0.0002870318186463,0.406536012509974,0.40217910428201,0.9985365853658535,1.0,0.9985365831894456,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_02/history.csv
MobileNetV3-Small,2,8,0.0002824421389288,0.4031688690767055,0.4031907114290422,1.0,0.9935483870967742,1.0,0.9937362368485442,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_02/history.csv
MobileNetV3-Small,2,9,0.0002772072144234,0.4038096745421247,0.4195849332117265,0.9990243902439024,0.9806451612903224,0.9990243895184332,0.9815986830071336,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_02/history.csv
MobileNetV3-Small,2,10,0.0002713525491562,0.4055913982740263,0.4068821295615165,1.0,0.9870967741935484,1.0,0.9874877810361682,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_02/history.csv
MobileNetV3-Small,3,1,0.0003,0.6796136799672755,0.4947426359499654,0.88,0.967741935483871,0.8797504590819996,0.9672438669508036,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_03/history.csv
MobileNetV3-Small,3,2,0.0002996346075389,0.4408833642703731,0.4263784089396076,0.9917073170731708,1.0,0.991703140546015,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_03/history.csv
MobileNetV3-Small,3,3,0.0002985402103112,0.4220878073645801,0.4109979912157981,0.9960975609756098,1.0,0.9960927524416332,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_03/history.csv
MobileNetV3-Small,3,4,0.00029672214011,0.4149839514639319,0.4102381685087757,0.9990243902439024,1.0,0.9990243902439024,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_03/history.csv
MobileNetV3-Small,3,5,0.0002941892543907,0.4150809297910551,0.4168141716910947,0.997560975609756,1.0,0.997562158135418,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_03/history.csv
MobileNetV3-Small,3,6,0.0002909538931178,0.4106865367075292,0.398823937677568,0.9980487804878048,1.0,0.9980493739217484,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_03/history.csv
MobileNetV3-Small,3,7,0.0002870318186463,0.4065520526723163,0.4035582007900361,0.9985365853658535,1.0,0.9985359890300328,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_03/history.csv
MobileNetV3-Small,3,8,0.0002824421389288,0.406599121558957,0.398221625820283,0.9990243902439024,1.0,0.9990243844401216,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_03/history.csv
MobileNetV3-Small,3,9,0.0002772072144234,0.408730012847156,0.3949354017934491,0.9985365853658535,1.0,0.9985365810077164,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_03/history.csv
MobileNetV3-Small,4,1,0.0003,0.7004442705759188,0.5675823280888219,0.8736585365853659,0.9419354838709676,0.8736004367731383,0.9443308755956044,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_04/history.csv
MobileNetV3-Small,4,2,0.0002996346075389,0.4448631391292665,0.4422652136894964,0.9921951219512196,0.9870967741935484,0.992188389869668,0.9825771324863884,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_04/history.csv
MobileNetV3-Small,4,3,0.0002985402103112,0.4233028140300657,0.4185864283192542,0.9965853658536584,0.9935483870967742,0.9965823819821812,0.99120476408612,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_04/history.csv
MobileNetV3-Small,4,4,0.00029672214011,0.4217560269192951,0.4088063653438322,0.995609756097561,1.0,0.9956109255594012,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_04/history.csv
MobileNetV3-Small,4,5,0.0002941892543907,0.4193842843683754,0.4065619434079816,0.997560975609756,1.0,0.9975609357613138,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_04/history.csv
MobileNetV3-Small,4,6,0.0002909538931178,0.4141989910311815,0.4036994580299624,0.9960975609756098,1.0,0.9960969515812884,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_04/history.csv
MobileNetV3-Small,4,7,0.0002870318186463,0.4065482952536606,0.4006339113558492,0.9995121951219512,1.0,0.999512194396482,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_04/history.csv
MobileNetV3-Small,4,8,0.0002824421389288,0.4082592154130703,0.4060314318826121,0.9965853658536584,1.0,0.9965870961979798,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_04/history.csv
MobileNetV3-Small,4,9,0.0002772072144234,0.4162032932188452,0.4019716120535327,0.9931707317073172,1.0,0.9931778204007105,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_04/history.csv
MobileNetV3-Small,4,10,0.0002713525491562,0.4096413819964339,0.3971189998811291,0.997560975609756,1.0,0.997561558193393,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_04/history.csv
MobileNetV3-Small,4,11,0.0002649066664678,0.4048721267537373,0.3981835722923278,0.9990243902439024,1.0,0.9990243895184332,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_04/history.csv
MobileNetV3-Small,5,1,0.0003,0.6986567339664552,0.503016472247339,0.871219512195122,0.967741935483871,0.8708539933560108,0.9639203642910092,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_05/history.csv
MobileNetV3-Small,5,2,0.0002996346075389,0.4448043717407599,0.4403720621139772,0.9882926829268291,0.9870967741935484,0.9882870456977176,0.984799492145819,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_05/history.csv
MobileNetV3-Small,5,3,0.0002985402103112,0.425039763218019,0.4183008259342562,0.9990243902439024,0.9935483870967742,0.9990243902439024,0.9916095199677288,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_05/history.csv
MobileNetV3-Small,5,4,0.00029672214011,0.4171786011719122,0.4126725919785038,0.9960975609756098,1.0,0.9960975587992016,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_05/history.csv
MobileNetV3-Small,5,5,0.0002941892543907,0.4193413690241371,0.4165411349265806,0.9995121951219512,0.9935483870967742,0.999512194396482,0.993870443464128,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_05/history.csv
MobileNetV3-Small,5,6,0.0002909538931178,0.4120106396442506,0.405235005386414,0.997560975609756,1.0,0.9975597836635832,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_05/history.csv
MobileNetV3-Small,5,7,0.0002870318186463,0.4046497704343098,0.3986238637278156,0.9990243902439024,1.0,0.999023791726352,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_05/history.csv
MobileNetV3-Small,5,8,0.0002824421389288,0.4028377766725494,0.3982807632415525,0.9995121951219512,1.0,0.999512194396482,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_05/history.csv
MobileNetV3-Small,5,9,0.0002772072144234,0.4066340998905461,0.4009888806650715,0.9990243902439024,1.0,0.9990243887929636,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_05/history.csv
MobileNetV3-Small,5,10,0.0002713525491562,0.4031683513594836,0.3955100640173881,0.9995121951219512,1.0,0.999512194396482,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_05/history.csv
MobileNetV3-Small,5,11,0.0002649066664678,0.4034074196001379,0.3956529098172341,0.9985365853658535,1.0,0.998538359170194,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_05/history.csv
MobileNetV3-Small,6,1,0.0003,0.7048053897299418,0.5085031303667253,0.871219512195122,0.9419354838709676,0.8719391701427417,0.9342924475367524,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_06/history.csv
MobileNetV3-Small,6,2,0.0002996346075389,0.4376042688183668,0.4150984494916854,0.9917073170731708,1.0,0.9916988652676826,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_06/history.csv
MobileNetV3-Small,6,3,0.0002985402103112,0.425638242814599,0.406164558856718,0.9985365853658535,1.0,0.9985365788366036,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_06/history.csv
MobileNetV3-Small,6,4,0.00029672214011,0.431303787347747,0.4073195201735343,0.991219512195122,1.0,0.991215193078722,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_06/history.csv
MobileNetV3-Small,6,5,0.0002941892543907,0.4092993120449345,0.4012632616104618,0.9995121951219512,1.0,0.999512194396482,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_06/history.csv
MobileNetV3-Small,6,6,0.0002909538931178,0.4111464156174078,0.3985937383867079,0.9985365853658535,1.0,0.998537762103582,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_06/history.csv
MobileNetV3-Small,6,7,0.0002870318186463,0.4120722039734445,0.3993426561355591,0.9970731707317072,1.0,0.9970749445202,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_06/history.csv
MobileNetV3-Small,6,8,0.0002824421389288,0.4065891290874016,0.396718963307719,0.9980487804878048,1.0,0.9980487775859274,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_06/history.csv
MobileNetV3-Small,6,9,0.0002772072144234,0.4028418975923119,0.3956668707632249,0.9985365853658535,1.0,0.9985359890300328,1.0,MobileNetV3_Small,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_06/history.csv
